,pID,Experimenters,GroupID,Age,Gender,Dominant Eye,LH Score,RH Score,Usable Eyedata,number of transitions,Include participant?,Comments on Eyedata,correctFraction,meanReactionTime,stdReactionTime,medianReactionTime
0,Sub_005,Alena Nadelson & Pavel Chernushin,A,28,M,R,3,13,Y,109,Y,,0.9772727272727273,0.7326228488635216,0.7135959871651955,0.6043997999986459
1,Sub_024,Alena Nadelson & Pavel Chernushin,A,23,M,L,3,17,Y,53,Y,,1.0,0.7531002487802453,0.4113374996274483,0.6906995000026654
2,Sub_001,Alexandra Antipin & Yevheniia Khaustova,B,29,F,R,1,19,Y,138,Y,,0.8210526315789474,1.193297231578974,0.7293383488460531,1.0837726999998267
3,Sub_019,Alexandra Antipin & Yevheniia Khaustova,B,24,F,R,2,9,Y,59,Y,,1.0,0.9480035326086547,0.7888587542498647,0.7744836999991094
4,Sub_021,Alexandra Antipin & Yevheniia Khaustova,B,21,F,R,1,15,Y,141,Y,,0.9923664122137404,0.5054116862594676,0.18867294770219062,0.466503500001636
5,Sub_007,Isabel Berger & Emilia Hießl,C,19,F,R,0,13,Y,204,Y,,0.96875,0.7040954078126637,0.24845542761911127,0.6587595500004682
6,Sub_008,Isabel Berger & Emilia Hießl,C,20,F,R,4,12,Y,82,Y,,0.9859154929577465,0.7204998647885813,0.5766469417847042,0.6003368999986378
7,Sub_003,Jula Hoster & Melanie Tschiatschek,D,19,F,L,0,14,Y,44,Y,,1.0,1.1538103833334616,0.3717873056462984,1.1208026499998596
8,Sub_025,Jula Hoster & Melanie Tschiatschek,D,19,F,R,1,14,Y,161,Y,,0.9856115107913669,0.5290156985611951,0.12651296504727175,0.5087095000017143
9,Sub_028,Jula Hoster & Melanie Tschiatschek,D,21,F,L,3,17,Y,56,Y,,0.0,0.8335615115384704,0.288464570299614,0.8005738500000916
10,Sub_020,Julia Kuttner & Damla Dumlupinar,E,21,F,L,2,17,Y,94,Y,,0.9122807017543859,0.676060857894734,0.5818311814603633,0.5844883999996
11,Sub_030,Julia Kuttner & Damla Dumlupinar,E,20,M,L,5,11,Y,47,Y,,1.0,0.7104573742857221,0.20147516968283988,0.6421904000003451
12,Sub_004,Kevin Pfalz & Sirui Fu,F,30,F,R,0,16,Y,31,Y,,0.9473684210526315,2.7886065315789987,2.0731129504635915,2.3003994000009698
13,Sub_009,Kevin Pfalz & Sirui Fu,F,21,F,R,3,13,Y,88,Y,,0.9861111111111112,1.232001340276734,0.6140585026927045,1.1127189499968608
14,Sub_013,Letizia Bauer & Antonia Schneider,G,20,F,L,2,17,Y,81,Y,,0.9857142857142858,0.6184319314285663,0.3167685483343694,0.5499081999998907
15,Sub_015,Letizia Bauer & Antonia Schneider,G,20,F,L,3,14,Y,85,Y,,0.9875,0.5991730687499682,0.17718397960351964,0.5671364000006633
16,Sub_006,Quynh Anh Vu & Anais Sacquard,H,20,M,R,20,0,Y,101,Y,,1.0,0.4929643202019932,0.10408621691135068,0.4750077999997302
17,Sub_016,Quynh Anh Vu & Anais Sacquard,H,21,F,R,3,13,Y,64,Y,,0.9787234042553191,0.7463649553194935,0.2509118950249352,0.733573500001512
18,Sub_029,Quynh Anh Vu & Anais Sacquard,H,22,M,R,1,18,Y,40,Y,,0.9666666666666667,0.8581376099999791,0.2959533188811108,0.7961330000000544
19,Sub_023,Sara Gilio & Paul Koch,I,19,M,R,0,19,Y,164,Y,,1.0,0.45968793506521305,0.10360732952551314,0.43398585000056755
20,Sub_026,Sara Gilio & Paul Koch,I,22,M,L,0,20,Y,211,Y,,0.9789473684210527,0.44154201368424695,0.1423903575750911,0.42550965000020824
21,Sub_027,Sara Gilio & Paul Koch,I,30,M,R,0,20,Y,80,Y,,0.9516129032258065,0.9140868774192122,0.6609287513936065,0.7209015500012583
22,Sub_010,Ulrike Nigg & Boryana Dankova,J,22,F,R,2,15,Y,34,Y,,0.7333333333333333,2.048169173333402,1.5999152326777308,1.1333890999999312
23,Sub_014,Ulrike Nigg & Boryana Dankova,J,24,F,R,16,4,Y,94,Y,,0.9875,0.8615502450002822,0.47596971133048277,0.7630887499999517
24,Sub_031,Ulrike Nigg & Boryana Dankova,J,19,M,R,1,19,Y,70,Y,,1.0,1.121466609091133,0.8005977858468036,0.8756219999995665
